"name","gender","ethnicity","isomerism","orientation","disability","year","domain","manwhitecisable","manwhitecis","manwhite","minoritized","poc"
"Paul Ludick","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Notley Warren Maddox","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Erik Magnussen","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Rita McBride","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Wendy Meng","woman",NA,NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,NA
"Tony Naponic","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Dennis Nechvatal","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Ernesto Neto","man","latinx",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Jan J. Norbeck","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Heidi Norton","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Tetsu Okuhara","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Toby Old","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Peter Paone","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Gilles Peress","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Gordon Powell","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"J. John Priola","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Barbara Revelle","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Alicia Rosauer","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Barbara Sandler","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Arthur Sawyers","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Laura Shechter","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Dasha Shishkin","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Yinka Shonibare","man","black",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Raghubir Singh","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Agathe Sorel","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Mirella Spinella","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Viatcheslav Tarnovetski","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Bob Thall","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Jack R. Thornell","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Gérard Titus-Carmel","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Andree Tracey","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Katsuji Wakisaka","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Eric Weeks","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Ryan Weideman","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Bill Woolston","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Guo You","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Zarina","woman","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Terry Allen","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Helen Altman","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"David Altmejd","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Jesse Amado","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Mamma Andersson","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Uri Aran","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Dale Atkinson","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Charles Atlas","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Andisheh Avini","man","middleeast",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Darren Bader","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Scott Barber","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Daniel Barsotti","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Jennifer Bartlett","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Tony Berlant","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Jake Berthot","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"David Bielander","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"John Bock","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Alighiero Boetti","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"William Arthur Bristow","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Christopher Le Brun","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Gary Bukovnik","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Mario Bellini","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Peter Chevalier","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Francesco Clemente","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Alice Cling","woman","native",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Hannah Collins","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Eileen Cooper","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Giovanni Corvaja","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Fred Cress","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Steven Cromwell","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Russell Crotty","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Robert Cumming","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Johanna Dahm","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Ronald Wendel Davis","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Mark Dean","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Donna Dennis","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Gaetano Pesce","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Philip-Lorca DiCorcia","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Georg Dobler","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Bruce Duderstadt","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Melvin Edwards","man","black",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Jeff Elrod","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Adrian Esparza","man","latinx",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Robbert Flick","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Mark Flood","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Tom Friedman","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Laura Gachupin","woman",NA,NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,NA
"Tim Gardner","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Robert Gober","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Frank Gohlke","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Xavier Grau","man","latinx",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Hence Griffith","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Carlo Guaita","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Sam Gummelt","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Sue Ferguson Gussow","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Charlotte Schwarz Hallet","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Christine Hatt","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Rachel Hecker","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Anthony Hernandez","man","latinx",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"John Hernandez","man","latinx",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Eva Hesse","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Tomas Hoke","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Roni Horn","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Sandria Hu","woman","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Bryan Hunt","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Robert Huot","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Taro Izumi","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Bill Jacobson","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"David Jensen","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Nils Johan","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Patricia Johanson","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Larry Johnson","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Allen Jones","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Otis Jones","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Luis Alfonso Jimenez Jr.","man","latinx",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Wyatt Kahn","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Kananginak","man","native",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Misty Keasler","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Mel Kendrick","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Beppe Kessler","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Win Knowlton","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Jaroslav Kodejs","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Jacob Koopee","man","native",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Gabriele Kutschera","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Michael Lacktman","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Jim Lambie","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Jonathan Lasker","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Paul Lee","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Andrew Lord","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Daniela De Lorenzo","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Alma Loretto","woman","native",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Sarah Lucas","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Michele De Lucchi","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Danny Lyon","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"William Macilraith","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Erik Magnussen","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Erik Magnussen","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Brice Marden","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Raffaele Martini","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Tom Millea","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Keith Milow","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Rainy Naha","woman","native",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Dusty Naranjo","woman","native",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Frans van Nieuwenborg","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Thérèse Oulton","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Bill Owens","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Robert Page","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"William Pankey","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Elsa Peretti","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Martin Puryear","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Elsa Rady","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Ugo Rondinone","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Rachel Rose","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Stanley Roseman","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Thomas Ruff","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Anri Sala","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"David Salle","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Geraldine Sandia","woman","native",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Alan Saret","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Thomas Schindler","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Gisela Seibert-Philippen",NA,"white",NA,NA,NA,NA,"art",NA,NA,NA,NA,FALSE
"Richard Serra","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Alan Shields","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Laurie Simmons","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Luther Smith","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Alan Sonfist","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Christina Stack","woman",NA,NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,NA
"Philippe Starck","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Joseph Stashkevetch","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Thomas Struth","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Ricky Swallow","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Frances Merritt Thompson",NA,"white",NA,NA,NA,NA,"art",NA,NA,NA,NA,FALSE
"Lee Ufan","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Barry Le Va","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Miguel Ventura","man","latinx",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Sandra Victorino","woman","native",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Not Vital","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Marcel Wanders","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Russ Warren","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"C. A. Wasserburger","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Anne C. Weary","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Clemens von Wedemeyer","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Jack Whitten","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Danny Williams","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Michael Williams","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Peter De Wit","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"B. Wurtz","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Marcella Yepa","woman","native",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
NA,NA,NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Ken Abbott","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"William Acheff","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Franz Ackermann","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Robert Adams","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Jeff Aeling","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Halim al-Karim","man","middleeast",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Sami al-Karim","man","middleeast",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Brian Alfred","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Anton Alvarez","man","latinx",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Fernando Alvim","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"El Anatsui","man","black",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Dieter Appelt","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Ron Arad","man","middleeast",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Lawrence von Bamford","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Pavel Banka","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Tina Barney","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Thomas Barrow","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Uta Barth","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Bo Bartlett","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Robert Benjamin","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Scott Bennett","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Michael Bierut","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Hock E Aye Vi Edgar Heap of Birds","man","native",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Christian Boltanski","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Phil Borges","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Barbara Bosworth","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Ronan Bouroullec","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Mark Bowles","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"David P. Bradley","man","native",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Matthew Brannon","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Cecily Brown","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Joan Brown","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Jonas Burgert","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Deborah Butterfield","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"JoAnn Callis","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Nick Cave","man","black",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Enrique Martinez Celaya","man","latinx",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Art Chantry","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Chan Chao","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Wenling Chen","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Albert Chong","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Francesco Clemente","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Chuck Close","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Donald W. Coen","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Lee Conklin","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Lois Conner","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Gregory Conniff","man","white",NA,NA,NA,NA,"art",NA,NA,TRUE,NA,FALSE
"Linda Connor","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Lia Cook","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
"Li Dafang","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Zhang Dali","man","asian",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,TRUE
"Tim Davis","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"John DeAndrea","man",NA,NA,NA,NA,NA,"art",NA,NA,NA,NA,NA
"Lesley Dill","woman","white",NA,NA,NA,NA,"art",FALSE,FALSE,FALSE,TRUE,FALSE
